age,expHCE_women,expHCE_men
0,776.5613826,1418.966344
1,836.3608996,1401.21087
2,895.2233884,1384.239683
3,953.1485906,1368.080622
4,1010.134586,1352.770112
5,1066.17848,1338.352454
6,1121.278923,1324.873058
7,1175.436321,1312.378089
8,1228.652959,1300.914407
9,1280.934739,1290.530067
10,1332.295982,1281.275942
11,1382.754264,1273.203757
12,1432.328769,1266.36535
13,1481.040326,1260.8125
14,1528.911213,1256.595451
15,1575.964447,1253.758575
16,1622.224339,1252.343415
17,1667.716662,1252.389561
18,1712.468584,1253.934231
19,1756.506881,1257.009149
20,1799.851973,1261.630794
21,1842.521066,1267.805104
22,1884.528927,1275.528471
23,1925.886935,1284.786069
24,1966.602191,1295.548164
25,2006.677032,1307.761608
26,2046.105158,1321.348701
27,2084.86723,1336.202892
28,2122.925042,1352.181231
29,2160.211859,1369.094938
30,2196.615509,1386.697901
31,2231.960116,1404.668015
32,2265.97849,1422.5928
33,2298.277248,1439.979268
34,2328.309505,1456.352937
35,2355.422596,1471.609943
36,2379.234553,1486.873543
37,2400.46078,1505.507111
38,2420.011006,1532.265252
39,2436.675402,1569.102069
40,2453.008316,1610.795634
41,2474.266669,1652.734245
42,2497.18018,1698.95416
43,2523.722298,1754.667882
44,2547.729388,1819.114814
45,2571.004461,1888.183443
46,2600.636757,1962.598437
47,2634.92992,2043.032593
48,2672.871876,2131.334287
49,2708.379182,2222.494481
50,2740.923866,2316.302395
51,2783.092305,2418.384842
52,2833.900973,2528.911982
53,2890.859689,2645.293732
54,2939.454237,2759.226585
55,2979.43308,2871.533462
56,3038.502981,2996.369534
57,3119.688206,3135.194456
58,3213.477723,3281.174333
59,3273.357194,3411.904717
60,3319.880359,3535.139376
61,3405.827098,3681.207715
62,3532.742732,3852.688978
63,3675.184449,4034.066976
64,3755.515658,4177.050788
65,3821.070192,4304.730547
66,3908.866828,4441.579277
67,4049.460218,4609.24928
68,4252.974618,4815.868085
69,4519.419916,5062.416555
70,4845.666157,5347.407609
71,5228.216944,5668.863747
72,5664.035098,6024.963279
73,6150.676924,6414.188632
74,6686.23071,6835.31864
75,7269.215971,7287.378146
76,7898.487031,7769.593082
77,8573.166803,8281.355958
78,9292.597893,8822.198181
79,10056.31677,9391.774379
80,10864.0516,9989.859058
81,11715.65301,10616.30842
82,12611.06572,11271.04408
83,13550.3167,11954.0456
84,14533.52001,12665.35347
85,15560.90467,13405.0866
86,16632.75185,14173.40237
87,17749.37409,14970.48319
88,18911.11163,15796.53399
89,20118.34223,16651.78956
90,21371.51451,17536.53924
91,22671.10188,18451.09301
92,24017.58695,19395.76978
93,25411.45961,20370.89611
94,26853.22214,21376.81146
95,28343.40923,22413.88804
96,29882.56842,23482.51168
97,31471.25205,24583.07424
98,33110.01586,25715.97246
99,34799.38113,26881.57968
100,36539.71621,28080.15767
